,KEY,accuracy,accuracy_std,activation,amino_accuracy,batch_size,beta,dense_units,dropout,elbo,entropy,kld,latent_dim,learning_rate,mcc,mcc_std,regfactor,rho_avg,rho_min,rho_std,top_batch_size,top_dropout,top_learning_rate,top_regfactor,use_batch_norm
34,latent_dim,0.597786626,0.036607802,elu,0.6658699,256,1,"[512, 256]",0.2,316.2503008,299.6768545,16.57344641,8,0.001,0.191454184,0.074307942,1.00E-06,-0.015642054,-0.525957976,0.425728822,256,0,0.01,0.001,FALSE
35,latent_dim,0.708637599,0.017498319,elu,0.6988155,256,1,"[512, 256]",0.2,309.7140061,287.163872,22.55013412,16,0.001,0.41547938,0.033614036,1.00E-06,0.364562283,0.047969396,0.222977218,256,0,0.01,0.001,FALSE
36,latent_dim,0.691259541,0.039901287,elu,0.6968099,256,1,"[512, 256]",0.2,313.1609457,288.7218173,24.43912825,24,0.001,0.379110134,0.078288062,1.00E-06,-0.034315965,-0.613107481,0.39063448,256,0,0.01,0.001,FALSE
37,latent_dim,0.721842278,0.02187819,elu,0.7051825,256,1,"[512, 256]",0.2,319.7678655,290.8208878,28.94697819,48,0.001,0.44174161,0.042289947,1.00E-06,0.2319387,-0.099978222,0.228059231,256,0,0.01,0.001,FALSE
38,latent_dim,0.726414997,0.031430132,elu,0.69776595,256,1,"[512, 256]",0.2,322.4378522,292.7897772,29.6480756,64,0.001,0.450833666,0.060966467,1.00E-06,0.170560438,-0.132962227,0.301313741,256,0,0.01,0.001,FALSE
39,latent_dim,0.7486604,0.023160537,elu,0.6965802,256,1,"[512, 256]",0.2,328.2973453,296.1700295,32.12731595,96,0.001,0.494293622,0.045295891,1.00E-06,0.034932205,-0.115347243,0.132290595,256,0,0.01,0.001,FALSE
40,latent_dim,0.730310078,0.026355566,elu,0.69244593,256,1,"[512, 256]",0.2,330.5376028,299.9741474,30.56345542,128,0.001,0.457490984,0.052787354,1.00E-06,0.064029844,-0.210458016,0.331989583,256,0,0.01,0.001,FALSE
41,beta,0.7486604,0.023160537,elu,0.6965802,256,1,"[512, 256]",0.2,328.2973453,296.1700295,32.12731595,96,0.001,0.494293622,0.045295891,1.00E-06,0.034932205,-0.115347243,0.132290595,256,0,0.01,0.001,FALSE
42,beta,0.750800956,0.018060719,elu,0.65560377,256,2,"[512, 256]",0.2,354.0387431,315.1399501,19.44939622,96,0.001,0.502291179,0.035839018,1.00E-06,0.268841068,-0.206935993,0.344201796,256,0,0.01,0.001,FALSE
43,beta,0.698061555,0.02587311,elu,0.5315048,256,5,"[512, 256]",0.2,442.2103619,401.0110855,8.239855274,96,0.001,0.396426791,0.051702339,1.00E-06,0.017467747,-0.462174728,0.415144546,256,0,0.01,0.001,FALSE
