,0,1
Wei_et_al_2016,0.7878787878787878,0.03976771653541315
Furukawa_et_al_2019,0.7636363636363637,0.014845392380504115
Joo_et_al_2018,0.7428571428571429,0.04040610178208844
Zhang_et_al_2021,1.0,0.0
Sonnendecker_et_al_2021,0.7857142857142857,0.016835875742536838
Chen_et_al_2021,0.8095238095238095,1.1102230246251565e-16
Sagong_et_al_2022,0.38095238095238093,0.038880789567986955
Tournier_et_al_2020,0.6078431372549019,0.008151759012579413
Brott_et_al_2021,0.8333333333333334,0.0
Guo_et_al_2022,0.6153846153846154,0.013705704713457662
Cui_et_al_2021,0.8591346153846153,0.0026137029535737754
Son_et_al_2019,0.5441176470588235,0.039974280466421805
Bell_et_al_2022,0.8666666666666667,0.0
Nakamura_et_al_2021,0.7862318840579711,0.007444944448030156
Liu_et_al_2018,0.7279411764705882,0.01834145777830366
Wang_et_al_2022,0.8461538461538461,0.010467904883688805
Erickson_et_al_2022,0.8073089700996677,0.018538028098176007
Xi_et_al_2021,0.6666666666666666,0.0
Li_et_al_2022,0.6785714285714286,1.1102230246251565e-16
Then_et_al_2016,0.7777777777777778,0.04721314364437766
Ma_et_al_2018,0.2777777777777778,0.013094570021973107
Han_et_al_2017,0.696969696969697,0.0397677165354132
Zeng_et_al_2022,0.7254901960784313,0.012936150360711367
