,0,1
Wei_et_al_2016,0.7844975560423472,0.07825546137509092
Furukawa_et_al_2019,0.7214687086640126,0.03678286740631718
Joo_et_al_2018,0.6732894187726137,0.07643894215250914
Zhang_et_al_2021,1.0,0.0
Sonnendecker_et_al_2021,0.730552019767088,0.040711464529912623
Chen_et_al_2021,0.794234538127619,0.004646254337817782
Sagong_et_al_2022,-0.25,0.07338588098772593
Tournier_et_al_2020,0.26639136229422206,0.011056534534321786
Brott_et_al_2021,0.7647328842025763,0.0
Guo_et_al_2022,0.34399306140651736,0.05481751218477346
Cui_et_al_2021,0.9026729706622008,0.0023765253484826815
Son_et_al_2019,0.13488659800790456,0.09488572805602441
Bell_et_al_2022,0.8285714285714287,0.0
Nakamura_et_al_2021,0.7359494590170265,0.01783246340976107
Liu_et_al_2018,0.6432275236309272,0.04581169323266826
Wang_et_al_2022,0.8674165535724329,0.01378163717657872
Erickson_et_al_2022,0.8603978544007699,0.03371109269684688
Xi_et_al_2021,0.5,0.0
Li_et_al_2022,0.4285714285714286,0.0
Then_et_al_2016,0.6386780131801736,0.10185042514551752
Ma_et_al_2018,-0.5333333333333333,0.059317101400173954
Han_et_al_2017,0.5524475524475525,0.1166433193771264
Zeng_et_al_2022,0.6571256110171874,0.031113759489277776
