,0,1
Wei_et_al_2016,0.5781028667900627,0.07730683308195703
Furukawa_et_al_2019,0.5500984559412987,0.02339995144674095
Joo_et_al_2018,0.4973642979855286,0.07066775234764315
Zhang_et_al_2021,1.0,0.0
Sonnendecker_et_al_2021,0.5708058152826189,0.02777285315369482
Chen_et_al_2021,0.6131174729170591,0.002598133829365291
Sagong_et_al_2022,-0.26967994498529685,0.0731730272623838
Tournier_et_al_2020,0.212445657737936,0.015781091335102884
Brott_et_al_2021,0.6625413488689132,0.0
Guo_et_al_2022,0.17716986318620467,0.020824218803861077
Cui_et_al_2021,0.7129449459633065,0.005331595974565394
Son_et_al_2019,0.10738372005081953,0.08184648084782728
Bell_et_al_2022,0.7,1.1102230246251565e-16
Nakamura_et_al_2021,0.5950164751711642,0.015676149622818783
Liu_et_al_2018,0.45547038108249366,0.04035904894056182
Wang_et_al_2022,0.6926145481295508,0.021021292690901
Erickson_et_al_2022,0.6249119265142205,0.037123396055110794
Xi_et_al_2021,0.5,0.0
Li_et_al_2022,0.35143174800275734,0.0
Then_et_al_2016,0.5541795665634675,0.09601807973894654
Ma_et_al_2018,-0.4472135954999579,0.033194493251175426
Han_et_al_2017,0.39338235294117646,0.07926004208721305
Zeng_et_al_2022,0.46024637513314337,0.028348748699453377
