,0,1
Son_et_al_2019,0.40441176470588236,0.013864838846795053
Liu_et_al_2018,0.6617647058823529,0.0034662097116988024
Brott_et_al_2021,0.8055555555555556,1.1102230246251565e-16
Erickson_et_al_2022,0.512735326688815,0.021669487074845603
Tournier_et_al_2020,0.5816993464052288,0.016303518025158767
Sonnendecker_et_al_2021,0.75,0.016835875742536838
Xi_et_al_2021,0.6666666666666666,0.0
Han_et_al_2017,0.6212121212121212,0.035712463696290296
Bell_et_al_2022,0.8666666666666667,0.0
Cui_et_al_2021,0.8086538461538462,0.020806195342458287
Zhang_et_al_2021,1.0,0.0
Furukawa_et_al_2019,0.7818181818181819,0.00857099128710967
Wang_et_al_2022,0.8076923076923077,0.031979977664734566
Ma_et_al_2018,0.2777777777777778,0.013094570021973107
Chen_et_al_2021,0.4675324675324675,0.049104471939894825
Zeng_et_al_2022,0.5989304812834224,0.013883923286450325
Guo_et_al_2022,0.5714285714285714,0.023738976917244876
Then_et_al_2016,0.6666666666666666,0.022680460581325734
Wei_et_al_2016,0.8181818181818182,0.012371160317086747
Sagong_et_al_2022,0.42857142857142855,0.038880789567986955
Nakamura_et_al_2021,0.7065217391304348,0.015371886547533605
Li_et_al_2022,0.6428571428571429,0.01683587574253689
Joo_et_al_2018,0.7714285714285715,0.02693740118805896
